,sample,tp,tp_sel,params,pu
0,ele-V9,HMvDRshapeDrCalib,EmEtaBC,"(5.271743335973486, 1.1808043033534816)",PU0
1,ele-V9,HMvDRshapeDrCalib,EmEtaBC,"(3.4956738127780618, 1.1907571622994708)",PU200
2,ele-V9,HMvDRshapeDrCalib,EmEtaBCD,"(9.378420571389059, 1.1761804169850674)",PU0
3,ele-V9,HMvDRshapeDrCalib,EmEtaBCD,"(5.197103466035959, 1.2289426118055506)",PU200
4,ele-V10,HMvDRshapeDrCalib,EmEtaBC,"(6.408504584751154, 1.1957634918762885)",PU0
5,ele-V10,HMvDRshapeDrCalib,EmEtaBC,"(4.513770466455423, 1.2311541461266053)",PU200
6,ele-V10,HMvDRshapeDrCalib,EmEtaBCD,"(8.73292444949403, 1.1954173272273425)",PU0
7,ele-V10,HMvDRshapeDrCalib,EmEtaBCD,"(5.721888752227304, 1.2194421771664512)",PU200
8,ele-TDR,HMvDRshapeDrCalib,EmEtaBC,"(6.053394274302458, 1.1611399641752493)",PU0
9,ele-TDR,HMvDRshapeDrCalib,EmEtaBC,"(7.010739287881953, 1.1045101837426625)",PU200
10,ele-TDR,HMvDRshapeDrCalib,EmEtaBCD,"(5.6052801915733745, 1.3372907153953033)",PU0
11,ele-TDR,HMvDRshapeDrCalib,EmEtaBCD,"(6.3775333147368345, 1.235644420306221)",PU200
