,sample,tp,tp_sel,params,pu
0,ele-V9,HMvDRshapeDrCalib,EmEtaBC,"(4.014515243747468, 1.263115223051662)",PU0
1,ele-V9,HMvDRshapeDrCalib,EmEtaBC,"(3.471193344511888, 1.1923694415109016)",PU200
2,ele-V9,HMvDRshapeDrCalib,EmEtaBCD,"(9.292893429766108, 1.173484964454874)",PU0
3,ele-V9,HMvDRshapeDrCalib,EmEtaBCD,"(5.301118679781146, 1.2247993572022144)",PU200
4,ele-V9,HMvDRshapeDrCalib,EmEtaB,"(-0.5867230894144004, 1.6214819958565156)",PU0
5,ele-V9,HMvDRshapeDrCalib,EmEtaB,"(-1.3482272626251217, 1.6202368371763312)",PU200
6,ele-V9,HMvDRshapeDrCalib,EmEtaC,"(7.027960899292776, 1.0376364267520308)",PU0
7,ele-V9,HMvDRshapeDrCalib,EmEtaC,"(5.572789853489204, 1.0312459849649023)",PU200
8,ele-V10,HMvDRshapeDrCalib,EmEtaBC,"(6.408612494567109, 1.1957551167265448)",PU0
9,ele-V10,HMvDRshapeDrCalib,EmEtaBC,"(3.8979072503509724, 1.270175680685014)",PU200
10,ele-V10,HMvDRshapeDrCalib,EmEtaBCD,"(8.73284066711409, 1.195422200232537)",PU0
11,ele-V10,HMvDRshapeDrCalib,EmEtaBCD,"(5.763086301148048, 1.2181254946808817)",PU200
12,ele-V10,HMvDRshapeDrCalib,EmEtaB,"(-3.9835312203508497, 2.0149808299841956)",PU0
13,ele-V10,HMvDRshapeDrCalib,EmEtaB,"(-4.395350206779242, 2.0035925905042724)",PU200
14,ele-V10,HMvDRshapeDrCalib,EmEtaC,"(8.633573698209897, 0.9968927661173754)",PU0
15,ele-V10,HMvDRshapeDrCalib,EmEtaC,"(6.569047566503368, 1.0235189941704204)",PU200
16,ele-TDR,HMvDRshapeDrCalib,EmEtaBC,"(5.978661245438958, 1.16530175871342)",PU0
17,ele-TDR,HMvDRshapeDrCalib,EmEtaBC,"(6.683974597172654, 1.126073539657222)",PU200
18,ele-TDR,HMvDRshapeDrCalib,EmEtaBCD,"(5.653171510598823, 1.3359881056722758)",PU0
19,ele-TDR,HMvDRshapeDrCalib,EmEtaBCD,"(6.538340051045063, 1.2317093963432417)",PU200
20,ele-TDR,HMvDRshapeDrCalib,EmEtaB,"(3.0444309402625844, 1.3370942026942274)",PU0
21,ele-TDR,HMvDRshapeDrCalib,EmEtaB,"(4.683586395336939, 1.2662686393873774)",PU200
22,ele-TDR,HMvDRshapeDrCalib,EmEtaC,"(6.877045568189397, 1.1125133532611982)",PU0
23,ele-TDR,HMvDRshapeDrCalib,EmEtaC,"(8.02039838724577, 1.0306416439676769)",PU200
